County Name,State,7/6/2021
Cumberland County ,KY,697
Cumberland County ,ME,17270
Cumberland County ,NJ,17256
Cumberland County ,NC,30451
Cumberland County ,PA,20633
Cumberland County ,TN,6886
Cumberland County ,VA,516
Cuming County ,NE,1056
Currituck County ,NC,1584
Curry County ,NM,5336
Curry County ,OR,746
Custer County ,CO,229
Custer County ,ID,258
Custer County ,MT,1208
Custer County ,NE,852
Custer County ,OK,4088
Custer County ,SD,880
Cuyahoga County ,OH,116156
Dade County ,GA,1239
Dade County ,MO,644
Daggett County ,UT,37
Dakota County ,MN,46947
Dakota County ,NE,3939
Dale County ,AL,4951
Dallam County ,TX,987
Dallas County ,AL,3623
Dallas County ,AR,818
Dallas County ,IA,11305
Dallas County ,MO,1562
Dallas County ,TX,306870
Dane County ,WI,46837
Daniels County ,MT,197
Dare County ,NC,2201
Darke County ,OH,5430
Darlington County ,SC,8628
Dauphin County ,PA,26149
Davidson County ,NC,17046
Davidson County ,TN,90445
Davie County ,NC,4189
Daviess County ,IN,3068
Daviess County ,KY,11012
Daviess County ,MO,764
Davis County ,IA,853
Davis County ,UT,40048
Davison County ,SD,3252
Dawes County ,NE,749
Dawson County ,GA,2782
Dawson County ,MT,1110
Dawson County ,NE,2888
Dawson County ,TX,1742
Day County ,SD,713
De Baca County ,NM,178
De Soto Parish ,LA,2913
De Witt County ,IL,1576
Deaf Smith County ,TX,2954
Dearborn County ,IN,5927
Decatur County ,GA,2184
Decatur County ,IN,2958
Decatur County ,IA,623
Decatur County ,KS,281
Decatur County ,TN,1624
Deer Lodge County ,MT,1128
Defiance County ,OH,4326
DeKalb County ,AL,9033
DeKalb County ,GA,59312
DeKalb County ,IL,10172
DeKalb County ,IN,4440
DeKalb County ,MO,1152
DeKalb County ,TN,2874
Del Norte County ,CA,1446
Delaware County ,IN,11015
Delaware County ,IA,2112
Delaware County ,NY,2395
Delaware County ,OH,18938
Delaware County ,OK,4780
Delaware County ,PA,52423
Delta County ,CO,2962
Delta County ,MI,4057
Delta County ,TX,352
Denali Borough ,AK,108
Dent County ,MO,1069
Denton County ,TX,77111
Des Moines County ,IA,4704
Deschutes County ,OR,10148
Desha County ,AR,1381
DeSoto County ,FL,4448
DeSoto County ,MS,22438
Deuel County ,NE,107
Deuel County ,SD,533
Dewey County ,OK,553
Dewey County ,SD,1479
DeWitt County ,TX,1990
Dickens County ,TX,188
Dickenson County ,VA,998
Dickey County ,ND,800
Dickinson County ,IA,2498
Dickinson County ,KS,1833
Dickinson County ,MI,2758
Dickson County ,TN,7114
Dillingham Census Area ,AK,210
Dillon County ,SC,4437
Dimmit County ,TX,2625
Dinwiddie County ,VA,2163
District of Columbia ,DC,49417
Divide County ,ND,187
Dixie County ,FL,1646
Dixon County ,NE,611
Doddridge County ,WV,646
Dodge County ,GA,1091
Dodge County ,MN,1877
Dodge County ,NE,4964
Dodge County ,WI,12954
Dolores County ,CO,130
Dona Ana County ,NM,25161
Doniphan County ,KS,1055
Donley County ,TX,424
Dooly County ,GA,804
Door County ,WI,2854
Dorchester County ,MD,2854
Dorchester County ,SC,18480
Dougherty County ,GA,5702
Douglas County ,CO,30613
Douglas County ,GA,12348
Douglas County ,IL,2613
Douglas County ,KS,8994
Douglas County ,MN,4760
Douglas County ,MO,1039
Douglas County ,NE,71755
Douglas County ,NV,3021
Douglas County ,OR,4018
Douglas County ,SD,455
Douglas County ,WA,3717
Douglas County ,WI,5010
Drew County ,AR,2085
Dubois County ,IN,6230
Dubuque County ,IA,13542
Duchesne County ,UT,1217
Dukes County ,MA,1415
Dundy County ,NE,185
Dunklin County ,MO,3111
Dunn County ,ND,401
Dunn County ,WI,5143
DuPage County ,IL,92651
Duplin County ,NC,6391
Durham County ,NC,25840
Dutchess County ,NY,29528
Duval County ,FL,103026
Duval County ,TX,1276
Dyer County ,TN,5530
Eagle County ,CO,6369
Early County ,GA,1042
East Baton Rouge Parish ,LA,41449
East Carroll Parish ,LA,1144
East Feliciana Parish ,LA,3276
Eastland County ,TX,1374
Eaton County ,MI,10161
Eau Claire County ,WI,11993
Echols County ,GA,362
Ector County ,TX,17592
Eddy County ,NM,6963
Eddy County ,ND,470
Edgar County ,IL,1773
Edgecombe County ,NC,5718
Edgefield County ,SC,3177
Edmonson County ,KY,924
Edmunds County ,SD,515
Edwards County ,IL,584
Edwards County ,KS,267
Edwards County ,TX,249
Effingham County ,GA,3921
Effingham County ,IL,4776
El Dorado County ,CA,10481
El Paso County ,CO,73725
El Paso County ,TX,136740
Elbert County ,CO,1891
Elbert County ,GA,1541
Elk County ,KS,181
Elk County ,PA,2871
Elkhart County ,IN,29597
Elko County ,NV,5204
Elliott County ,KY,987
Ellis County ,KS,3765
Ellis County ,OK,357
Ellis County ,TX,23153
Ellsworth County ,KS,1229
Elmore County ,AL,10322
Elmore County ,ID,2135
Emanuel County ,GA,1780
Emery County ,UT,966
Emmet County ,IA,1361
Emmet County ,MI,2380
Emmons County ,ND,441
Erath County ,TX,4263
Erie County ,NY,89737
Erie County ,OH,8068
Erie County ,PA,21236
Escambia County ,AL,4038
Escambia County ,FL,33244
Esmeralda County ,NV,38
Essex County ,MA,98020
Essex County ,NJ,94521
Essex County ,NY,1597
Essex County ,VT,296
Essex County ,VA,789
Estill County ,KY,1191
Etowah County ,AL,14249
Eureka County ,NV,55
Evangeline Parish ,LA,3711
Evans County ,GA,777
Fairbanks North Star Borough ,AK,7925
Fairfax County ,VA,77200
Fairfield County ,CT,100573
Fairfield County ,OH,16611
Fairfield County ,SC,2428
Fall River County ,SD,606
Fallon County ,MT,291
Falls County ,TX,2102
Fannin County ,GA,2206
Fannin County ,TX,3480
Faribault County ,MN,1560
Faulk County ,SD,372
Faulkner County ,AR,13254
Fauquier County ,VA,4789
Fayette County ,AL,2202
Fayette County ,GA,6850
Fayette County ,IL,3230
Fayette County ,IN,2990
Fayette County ,IA,1879
Fayette County ,KY,36549
Fayette County ,OH,2864
Fayette County ,PA,13443
Fayette County ,TN,5230
Fayette County ,TX,2779
Fayette County ,WV,3558
Fentress County ,TN,2523
Fergus County ,MT,1132
Ferry County ,WA,404
Fillmore County ,MN,1578
Fillmore County ,NE,507
Finney County ,KS,5873
Fisher County ,TX,306
Flagler County ,FL,7599
Flathead County ,MT,12475
Fleming County ,KY,1233
Florence County ,SC,18045
Florence County ,WI,507
Floyd County ,GA,10086
Floyd County ,IN,7866
Floyd County ,IA,1639
Floyd County ,KY,3506
Floyd County ,TX,900
Floyd County ,VA,884
Fluvanna County ,VA,1929
Foard County ,TX,124
Fond du Lac County ,WI,13889
Ford County ,IL,1892
Ford County ,KS,5787
Forest County ,PA,1435
Forest County ,WI,1047
Forrest County ,MS,7916
Forsyth County ,GA,18374
Forsyth County ,NC,37048
Fort Bend County ,TX,70032
Foster County ,ND,600
Fountain County ,IN,2281
Franklin County ,AL,4328
Franklin County ,AR,1721
Franklin County ,FL,1335
Franklin County ,GA,2407
Franklin County ,ID,1231
Franklin County ,IL,4565
Franklin County ,IN,1724
Franklin County ,IA,1243
Franklin County ,KS,2605
Franklin County ,KY,4208
Franklin County ,ME,1396
Franklin County ,MA,2586
Franklin County ,MS,852
Franklin County ,MO,10905
Franklin County ,NE,242
Franklin County ,NY,2564
Franklin County ,NC,7044
Franklin County ,OH,129289
Franklin County ,PA,15481
Franklin County ,TN,5238
Franklin County ,TX,816
Franklin County ,VT,2034
Franklin County ,VA,4117
Franklin County ,WA,12929
Franklin Parish ,LA,2804
Frederick County ,MD,19849
Frederick County ,VA,8121
Freeborn County ,MN,3478
Freestone County ,TX,1985
Fremont County ,CO,6559
Fremont County ,ID,1144
Fremont County ,IA,628
Fremont County ,WY,5305
Fresno County ,CA,102589
Frio County ,TX,2889
Frontier County ,NE,193
Fulton County ,AR,1182
Fulton County ,GA,84352
Fulton County ,IL,4057
Fulton County ,IN,2055
Fulton County ,KY,548
Fulton County ,NY,4432
Fulton County ,OH,4329
Fulton County ,PA,1378
Furnas County ,NE,508
Gadsden County ,FL,5836
Gage County ,NE,2188
Gaines County ,TX,1468
Gallatin County ,IL,471
Gallatin County ,KY,748
Gallatin County ,MT,14924
Gallia County ,OH,2414
Galveston County ,TX,41239
Garden County ,NE,113
Garfield County ,CO,6222
Garfield County ,MT,80
Garfield County ,NE,153
Garfield County ,OK,7835
Garfield County ,UT,466
Garfield County ,WA,134
Garland County ,AR,10669
Garrard County ,KY,1555
Garrett County ,MD,2048
Garvin County ,OK,3640
Garza County ,TX,559
Gasconade County ,MO,1592
Gaston County ,NC,27221
Gates County ,NC,750
Geary County ,KS,3667
Geauga County ,OH,6872
Gem County ,ID,1854
Genesee County ,MI,41776
Genesee County ,NY,5442
Geneva County ,AL,2593
Gentry County ,MO,875
George County ,MS,2540
Georgetown County ,SC,6811
Gibson County ,IN,4499
Gibson County ,TN,6692
Gila County ,AZ,7112
Gilchrist County ,FL,1651
Giles County ,TN,4051
Giles County ,VA,1336
Gillespie County ,TX,2598
Gilliam County ,OR,82
Gilmer County ,GA,2577
Gilmer County ,WV,888
Gilpin County ,CO,285
Glacier County ,MT,1548
Glades County ,FL,999
